bolum_id,gosterge_id,bolum_adi,istihdam_orani,akademik_istihdam_orani,yonetici_pozisyonu_istihdam_orani,girisimcilik_orani,ortalama_calisma_suresi_ay,katma_degerli_girisim_endeksi,nitelik_uygun_is_orani,nitelik_dusuk_uyusmazlik_orani,nitelik_orta_uyusmazlik_orani,nitelik_yuksek_uyusmazlik_orani,firma_mikro_olcekli_orani,firma_kucuk_olcekli_orani,firma_orta_olcekli_orani,firma_buyuk_olcekli_orani,maas_17002_tl_orani,maas_17003_24999_tl_orani,maas_25000_33999_tl_orani,maas_34000_50999_tl_orani,maas_51000_ustu_tl_orani,ise_baslama_mezun_olmadan_once_orani,ise_baslama_0_6_ay_orani,ise_baslama_6_12_ay_orani,ise_baslama_12_ay_ustu_orani,ise_gecis_ilk_1_ay_orani,ise_gecis_1_6_ay_orani,ise_gecis_6_12_ay_orani,ise_gecis_12_ay_ustu_orani,girisim_omru_0_12_ay_orani,girisim_omru_12_36_ay_orani,girisim_omru_36_60_ay_orani,girisim_omru_60_ay_ustu_orani,sektor_insan_saglik_sosyal_hizmet_orani,sektor_finans_sigorta_faaliyet_orani,sektor_egitim_orani,sektor_toptan_perakende_ticaret_motorlu_tasit_onarim_orani,sektor_imalat_orani,sektor_kamu_yonetim_savunma_sosyal_guvenlik_orani,sektor_insaat_orani,sektor_idari_destek_hizmet_orani,sektor_mesleki_bilimsel_teknik_orani,sektor_konaklama_yiyecek_hizmet_orani,sektor_ulasim_depolama_orani,sektor_bilgi_iletisim_orani,sektor_hanehalklari_isveren_faaliyetleri_orani,sektor_su_kanalizasyon_atik_yonetimi_orani,sektor_tarim_orman_baliksilik_orani,sektor_elektrik_gaz_buhar_uretimi_dagitim_orani,sektor_gayrimenkul_orani,sektor_kultur_sanat_eglence_dinlenme_spor_orani,sektor_madencilik_tas_ocakciligi_orani,sektor_diger_hizmet_orani,sektor_uluslararasi_org_temsil_faaliyet_orani
10,2024,Diş Hekimliği,88.0,21.0,0.1,41.6,21.6,50.175,94.6,2.4,1.8,1.2,31.2,23.7,40.4,4.7,10.6,24.6,19.2,40.3,5.3,2.8,49.7,21.1,26.4,17.1,64.9,10.6,7.4,34.9,33.4,17.7,14.0,87.3,3.5,3.4,1.4,1.3,0.7,0.7,0.6,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,,,
11,2024,Eczacılık,93.0,5.0,0.7,60.8,34.0,49.48,89.0,3.0,6.2,1.8,24.8,14.8,18.8,41.6,28.9,16.5,29.3,19.0,6.3,33.7,47.8,11.7,6.8,21.7,61.4,10.6,6.3,7.2,20.9,19.7,52.2,2.9,0.4,1.8,88.7,2.4,0.2,0.3,0.5,1.6,0.2,0.4,0.3,0.1,,0.2,0.0,0.0,0.0,0.0,,
12,2024,Ekonometri,76.0,0.8,1.6,8.9,18.2,50.125,16.8,12.2,60.7,10.3,41.3,19.4,15.4,23.9,28.4,35.6,15.1,14.8,6.1,15.0,28.8,15.5,40.7,18.7,50.0,15.7,15.6,51.7,29.7,11.4,7.2,1.8,21.1,4.2,19.4,14.3,0.6,3.0,8.9,9.1,3.8,5.4,4.2,0.0,0.2,0.5,0.6,0.9,0.5,0.1,1.3,0.1
13,2024,Elektrik ve Elektronik Mühendisliği,82.0,2.3,0.9,14.0,18.4,52.116,68.3,8.8,16.5,6.4,31.2,25.4,23.5,19.9,21.1,24.8,15.8,21.6,16.7,25.5,36.7,16.1,21.7,26.1,54.2,11.7,8.0,49.2,29.0,12.1,9.7,0.4,3.2,2.8,6.9,27.6,0.5,13.6,4.1,16.9,0.6,2.2,13.1,0.0,0.2,0.2,5.1,0.2,0.3,0.4,1.7,0.0
14,2024,Endüstri Mühendisliği,80.0,1.6,3.1,11.9,22.8,52.299,54.8,11.5,28.3,5.4,22.3,25.8,26.6,25.3,16.4,24.6,17.2,20.9,20.9,27.1,33.8,16.1,23.0,29.1,50.2,11.5,9.2,49.7,27.0,11.6,11.7,0.6,7.1,1.9,14.7,36.1,0.2,1.7,5.8,10.0,1.1,4.1,13.4,0.0,0.1,0.3,0.6,0.3,0.3,0.1,1.6,0.0
15,2024,Endüstriyel Tasarım,70.0,4.6,1.6,23.1,18.6,51.422,58.6,13.8,21.2,6.4,49.8,22.2,14.1,13.9,25.1,33.2,16.7,15.0,10.0,21.5,31.3,17.3,29.9,19.6,48.3,17.4,14.7,39.4,28.7,16.3,15.6,0.6,2.5,5.5,15.0,33.3,0.3,3.1,5.4,15.2,2.5,1.7,10.7,,0.1,0.3,0.1,0.5,0.9,0.1,2.1,0.1
16,2024,Felsefe,61.0,1.3,1.6,7.9,12.6,49.289,47.3,4.2,38.4,10.1,41.7,26.5,17.2,14.6,31.9,38.6,17.9,9.8,1.8,10.5,35.5,14.2,39.8,9.3,49.5,21.2,20.0,53.7,30.0,10.4,5.9,4.4,1.5,44.8,13.5,7.7,1.8,3.0,6.9,3.5,4.8,2.3,2.2,0.0,0.1,0.4,0.1,0.6,0.5,0.1,1.7,0.1
17,2024,Fen Bilgisi Öğretmenliği,74.0,0.6,0.9,4.4,17.0,49.193,76.3,2.0,16.6,5.1,18.8,18.3,24.9,38.0,15.5,31.1,27.7,24.3,1.4,4.2,38.8,10.2,46.8,6.8,58.1,18.3,16.8,54.2,28.1,10.2,7.5,1.7,0.7,65.4,8.2,5.1,3.3,2.2,5.2,1.9,2.4,1.7,0.9,0.0,0.1,0.4,0.1,0.3,0.3,0.1,,0.0
18,2024,Fizik,73.0,3.7,1.9,14.5,19.5,50.898,54.4,8.1,30.0,7.5,35.0,28.6,20.5,15.9,16.2,38.2,18.0,21.3,6.3,14.7,31.3,15.4,38.6,10.3,50.0,19.9,19.8,44.6,25.9,13.2,16.3,5.3,3.6,32.6,11.1,13.3,1.5,3.6,5.4,7.9,2.3,3.1,5.7,0.0,0.2,0.5,0.5,0.6,0.5,0.1,2.2,0.0
19,2024,Fizik Kimya ve Biyoloji Öğretmenliği,72.0,2.4,1.0,7.4,14.4,49.819,67.7,4.6,21.7,6.0,24.8,32.2,26.7,16.3,26.9,33.0,19.2,18.3,2.6,9.2,43.1,12.7,35.0,8.8,58.8,17.4,15.0,49.2,28.6,13.5,8.7,1.5,0.6,65.0,6.4,7.1,1.9,2.5,5.0,3.4,2.2,1.1,2.0,,0.1,0.3,0.1,0.3,0.2,0.3,,0.0
1,2024,Antropoloji,62.0,1.0,1.7,9.5,13.2,50.059,22.5,6.5,55.1,15.9,50.2,18.1,13.7,18.0,33.8,36.3,13.9,12.2,3.8,14.0,31.5,14.9,39.6,11.6,49.4,20.3,18.7,50.4,30.8,8.5,10.3,3.8,3.1,17.3,20.2,10.6,1.7,5.0,11.7,6.7,6.0,3.8,2.8,0.1,0.2,0.6,0.5,1.3,1.0,0.1,3.1,0.4
20,2024,Fizyoterapi,79.0,4.8,0.3,14.8,16.4,49.321,82.2,5.4,9.5,2.9,33.3,36.2,15.1,15.4,38.6,38.8,10.8,8.8,3.0,15.4,49.2,17.0,18.4,22.9,53.8,13.6,9.7,48.2,34.8,12.2,4.8,60.3,0.8,19.1,4.0,1.7,1.5,0.9,3.4,1.5,1.5,1.0,0.6,,0.0,0.2,0.1,0.2,3.2,0.0,,0.0
21,2024,Gemi Mühendisliği,61.0,2.9,1.2,19.5,16.1,51.683,31.5,40.6,22.3,5.6,43.1,32.0,18.0,6.9,17.7,18.4,10.3,15.7,37.9,31.5,28.9,12.9,26.7,15.8,47.3,18.0,18.9,40.6,31.5,13.8,14.1,0.4,1.5,2.4,6.7,23.6,0.7,2.0,3.7,10.4,1.2,37.4,1.8,0.0,0.2,0.8,0.3,0.2,0.9,,5.7,0.1
22,2024,Güzel Sanatlar,64.0,2.6,1.1,19.3,16.0,50.473,47.6,9.3,34.1,9.0,50.8,22.1,16.5,10.6,30.1,41.0,14.7,9.8,4.4,17.1,28.6,15.7,38.6,10.8,46.0,21.5,21.7,40.9,31.0,14.2,13.9,1.5,1.0,20.7,17.7,18.5,1.1,2.9,6.2,9.6,4.3,2.1,7.9,0.1,0.1,0.4,0.1,0.8,1.9,0.1,2.9,0.1
23,2024,Gıda Mühendisliği,74.0,2.1,3.8,9.1,16.5,49.759,61.4,7.9,23.8,6.9,52.1,27.7,13.2,7.0,24.8,35.7,16.5,16.2,6.8,15.1,40.7,18.2,26.0,14.1,54.4,18.0,13.5,56.3,27.5,9.6,6.6,1.3,1.3,4.3,13.0,38.4,0.7,2.0,4.8,6.8,20.0,3.0,1.2,0.0,0.1,1.3,0.1,0.3,0.2,0.1,1.0,0.1
24,2024,Harita Mühendisliği,84.0,1.9,0.8,24.2,15.6,50.703,60.6,14.5,13.7,11.2,46.4,26.4,18.1,9.1,30.1,31.8,14.0,17.9,6.2,23.4,38.4,14.7,23.5,19.1,55.8,15.1,10.0,40.6,32.7,14.7,12.0,0.5,2.0,2.0,4.4,3.5,2.6,30.2,5.7,31.7,1.2,1.7,4.7,0.0,0.8,0.5,1.7,4.7,0.2,0.9,1.0,0.0
25,2024,Hemşirelik,91.0,1.3,0.2,1.4,22.1,49.414,88.1,2.1,7.3,2.5,5.8,10.4,25.0,58.8,14.1,32.3,24.9,24.6,4.1,17.5,49.0,19.2,14.3,18.1,70.1,7.1,4.7,67.0,24.5,6.1,2.4,81.4,0.7,5.1,3.4,1.8,0.5,1.0,2.0,1.3,1.2,0.7,0.3,0.1,0.0,0.2,0.1,0.1,0.1,0.0,,0.0
26,2024,Hukuk,82.0,2.2,1.6,58.7,25.9,45.5,87.0,2.8,6.2,4.0,43.5,19.3,18.7,18.5,21.7,28.2,14.2,20.4,15.5,4.3,44.3,31.0,20.4,19.4,60.7,10.1,9.8,25.2,33.2,21.9,19.7,0.3,2.7,1.4,2.8,2.1,0.3,1.3,2.3,82.1,0.8,0.8,1.0,0.0,0.0,0.2,0.3,0.4,0.2,0.1,0.9,0.0
27,2024,Jeofizik Mühendisliği,80.0,1.1,1.9,23.6,18.9,51.166,40.8,10.0,34.5,14.7,47.1,25.2,16.0,11.7,23.7,40.9,14.0,14.8,6.6,21.9,27.0,16.6,34.5,13.5,52.8,18.7,15.0,39.9,26.6,15.4,18.1,5.4,3.6,3.7,12.9,14.7,1.2,12.0,6.3,20.0,2.1,4.5,5.0,0.0,0.4,0.5,0.9,1.4,2.4,0.9,1.5,0.6
28,2024,Jeoloji Mühendisliği,79.0,1.1,1.4,22.9,18.5,50.563,50.8,9.5,26.9,12.8,47.9,25.3,17.6,9.2,22.7,37.1,14.8,17.7,7.7,19.4,32.9,16.8,30.9,16.1,52.4,17.4,14.1,39.9,27.4,15.2,17.5,3.7,2.8,2.3,10.6,11.2,1.1,17.6,7.3,22.0,1.8,3.0,2.5,0.0,0.4,0.4,1.0,1.1,1.5,6.3,1.5,1.9
29,2024,Kentsel Tasarım ve Peyzaj Mimarlığı,72.0,2.9,1.1,18.1,16.0,50.76,48.7,9.8,28.7,12.8,49.9,25.8,16.0,8.3,32.8,34.1,14.2,13.6,5.3,15.3,32.4,20.1,32.2,18.8,51.8,16.4,13.0,43.0,30.1,13.3,13.6,1.3,2.2,3.6,12.8,8.6,3.0,11.3,16.2,21.2,3.2,2.2,4.0,0.0,0.4,1.8,0.3,5.4,0.7,0.1,1.6,0.1
2,2024,Arkeoloji,64.0,0.9,1.2,11.0,13.1,49.523,18.9,7.6,50.6,22.9,53.8,19.6,11.7,14.9,32.7,36.8,15.3,12.5,2.7,18.1,33.7,13.5,34.7,10.4,49.5,21.6,18.5,48.5,31.0,10.9,9.6,2.8,2.9,7.2,21.8,12.0,2.0,9.8,13.2,7.0,6.5,4.7,2.5,0.0,0.4,0.8,0.5,1.0,2.3,0.3,2.2,0.1
30,2024,Kimya,75.0,2.6,1.9,10.2,21.1,51.159,51.3,11.5,29.6,7.6,36.8,30.2,21.8,11.2,17.4,39.3,20.0,17.9,5.4,14.6,32.9,17.4,35.1,14.1,50.8,18.7,16.4,48.6,26.8,11.4,13.2,2.9,1.3,18.6,12.9,35.5,0.9,2.1,4.6,10.9,2.3,2.2,1.6,0.0,0.6,0.5,0.5,0.3,0.2,0.6,1.3,0.2
31,2024,Kimya Mühendisliği,78.0,2.3,2.4,8.7,22.7,52.002,56.2,11.2,27.1,5.5,29.9,31.5,25.8,12.8,16.3,31.7,19.0,19.6,13.4,18.3,32.7,19.7,29.3,22.1,51.8,14.7,11.4,55.6,25.2,10.4,8.8,1.1,1.4,3.5,12.5,53.9,0.3,1.8,4.5,11.8,1.2,2.1,2.2,0.0,0.6,0.3,0.7,0.2,0.1,0.9,0.8,0.1
32,2024,Konservatuvar,74.0,3.8,0.6,15.9,14.1,50.351,73.2,4.7,15.9,6.2,31.0,24.6,27.2,17.2,20.2,38.5,16.1,19.2,6.0,16.6,37.0,12.0,34.4,7.8,50.5,21.2,20.5,46.0,26.9,14.5,12.6,1.2,0.9,47.3,8.1,5.5,2.6,1.7,8.1,3.8,4.5,1.7,4.0,0.0,0.1,0.2,0.0,0.5,8.1,0.0,1.7,0.0
33,2024,Maden Mühendisliği,86.0,1.1,1.1,16.5,19.6,50.954,69.9,6.2,17.2,6.7,55.7,21.7,17.7,4.9,16.7,25.8,17.9,25.3,14.3,26.7,37.9,15.8,19.6,18.9,60.6,12.9,7.6,58.9,22.9,9.8,8.4,2.0,1.2,1.1,7.3,13.7,0.4,8.4,21.1,6.0,0.9,2.4,1.6,,0.3,0.2,0.6,0.2,0.4,30.6,0.6,1.0
34,2024,Makine Mühendisliği,84.0,1.8,1.2,14.9,19.6,51.488,65.7,8.3,18.6,7.4,37.4,27.7,20.1,14.8,22.0,28.7,16.6,19.6,13.1,26.5,35.3,15.6,22.6,21.6,55.7,14.2,8.5,48.7,28.6,12.4,10.3,0.3,1.2,1.6,7.2,52.7,0.4,11.5,3.3,11.7,0.6,3.1,2.3,0.0,0.3,0.2,1.4,0.3,0.2,0.5,1.2,0.0
35,2024,Maliye,74.0,0.4,1.3,8.2,17.9,49.407,17.6,10.5,59.9,12.0,46.4,15.5,14.1,24.0,33.4,31.7,13.7,17.4,3.8,12.6,23.2,15.1,49.1,17.2,52.0,15.5,15.3,53.8,29.1,11.0,6.1,2.0,13.6,4.3,19.7,15.4,0.9,4.3,9.3,14.1,4.7,5.1,1.8,0.0,0.3,0.7,0.6,0.9,0.5,0.3,1.5,0.0
36,2024,Malzeme Mühendisliği,81.0,2.2,2.0,10.3,20.5,51.984,52.1,11.4,29.3,7.2,33.6,32.9,20.7,12.8,19.8,29.8,17.9,20.5,12.0,22.4,28.6,17.5,31.5,21.3,53.9,15.0,9.8,50.9,28.5,10.4,10.2,0.6,1.2,2.0,9.6,62.0,0.3,3.3,3.9,8.5,1.1,2.5,2.4,,0.2,0.2,0.5,0.3,0.1,0.4,0.9,0.0
37,2024,Matematik,73.0,2.1,0.9,9.0,17.0,49.971,74.7,3.8,16.6,4.9,25.4,31.1,25.0,18.5,21.3,34.7,21.7,17.2,5.1,12.2,40.0,12.8,35.0,9.4,54.3,20.0,16.3,48.6,29.0,10.6,11.8,0.8,6.4,57.2,6.7,3.9,1.9,1.7,3.8,3.4,1.6,2.2,7.7,0.0,0.1,0.3,0.2,0.3,0.2,0.0,1.6,0.0
